	lower balance	upper balance	mean_balance
2023-03-17	2939.2178992450176	8061.259036376949	5500.238467810983
2023-03-18	1637.8820771818964	6759.923080689991	4198.902578935944
2023-03-19	1333.4659725701717	6455.506945757497	3894.4864591638348
2023-03-20	845.3156988708215	5967.356665179195	3406.3361820250084
2023-03-21	448.53909818991997	5570.580062560842	3009.559580375381
2023-03-22	587.2662571639976	5709.255511575673	3148.2608843698354
2023-03-23	711.316390491023	5833.079127815885	3272.197759153454
2023-03-24	718.7944092357416	5840.617522974624	3279.7059661051826
2023-03-25	378.25887795167455	5499.282496106188	2938.770687028931
2023-03-26	842.9611135977907	5963.93730655523	3403.44921007651
2023-03-27	708.9373594322306	5829.902900623286	3269.420130027758
2023-03-28	751.856578456956	5872.819702668385	3312.33814056267
2023-03-29	517.59471426661	5638.557290014566	3078.076002140588
2023-03-30	4621.659716596907	9742.622167887886	7182.140942242397
2023-03-31	4847.312773177274	9968.275196227602	7407.793984702438
2023-04-01	4532.888406845336	9653.850823488636	7093.3696151669865
2023-04-02	4224.708516173323	9345.670931053055	6785.189723613189
2023-04-03	4394.463124825585	9515.377274304497	6954.920199565041
2023-04-04	4531.337741807545	9652.040606321378	7091.689174064461
2023-04-05	4033.3474897928013	9154.10663336952	6593.72706158116
2023-04-06	3429.905560838902	9207.428186835199	6318.666873837051
2023-04-07	3404.6547076568195	9771.645010915592	6588.149859286205
2023-04-08	3153.1000296185643	10059.42810008995	6606.264064854257
2023-04-09	3009.02799391643	10415.523139573435	6712.275566744933
2023-04-10	2041.4153045830417	9916.37396142753	5978.894633005286
2023-04-11	2042.2961131211268	10359.373593605409	6200.834853363268
2023-04-12	2167.3145092447194	10904.166482624365	6535.740495934542
2023-04-13	1877.5852722416512	11014.947480382743	6446.266376312197
2023-04-14	1443.5513088667149	10964.590972080427	6204.071140473571
2023-04-15	1322.8863272175586	11212.70963148469	6267.797979351124
2023-04-16	1309.2593432417998	11554.88190158022	6432.07062241101
2023-04-17	1195.618604894572	11724.93006482016	6460.274334857366
2023-04-18	791.6962346872178	11624.10418270544	6207.900208696329
2023-04-19	891.4737324986345	12018.840511309852	6455.1571219042435
2023-04-20	764.4239452710126	12179.130709218727	6471.77732724487
2023-04-21	721.550764485125	12416.539932258525	6569.045348371826
2023-04-22	548.6815945438611	12517.391375225521	6533.036484884691
2023-04-23	298.3014720418578	12534.610419881705	6416.455945961781
2023-04-24	474.6497324817992	12972.829607995654	6723.739670238727
2023-04-25	264.30737727938595	13018.982787447745	6641.645082363565
2023-04-26	-83.63152440551676	12922.482153869889	6419.425314732186
2023-04-27	-148.49934984587435	13104.29169600601	6477.8961730800675
2023-04-28	-197.71586243716865	13297.425626053457	6549.8548818081445
2023-04-29	-262.9227551467202	13507.645234432024	6622.361239642652
2023-04-30	-642.9609130602421	13379.192996208538	6368.116041574148
2023-05-01	-517.5168850043647	13751.929061560815	6617.206088278225
2023-05-02	-622.3131328480149	13890.212160557112	6633.949513854548
2023-05-03	-643.8612257964596	14107.738562956933	6731.9386685802365
2023-05-04	-855.0176748923132	14131.843365689345	6638.412845398516
2023-05-05	-1059.4905495272915	14158.995324991149	6549.752387731928
2023-05-06	-864.0046598726976	14582.63321423114	6859.314277179221
2023-05-07	-1059.1233149665168	14612.345414454425	6776.611049743954
2023-05-08	-1393.8159829191118	14499.303525021163	6552.743771051026
2023-05-09	-1444.2241813869468	14667.520432234418	6611.648125423735
2023-05-10	-1472.577347826652	14855.01851681951	6691.220584496428
2023-05-11	-1523.2545275105358	15043.400538577094	6760.07300553328
2023-05-12	-1888.587402856133	14900.551657526441	6505.9821273351545
2023-05-13	-1749.5159937287826	15259.3579601378	6754.920983204509
2023-05-14	-1841.2491133130352	15384.557605273396	6771.65424598018
2023-05-15	-1850.436794155321	15589.604642101895	6869.583923973287
2023-05-16	-2045.0362306608858	15606.640052392931	6780.801910866023
2023-05-17	-2240.5631296413385	15620.240522694348	6689.8386965265045
2023-05-18	-2034.5426140019645	16032.967994776182	6999.2126903871085
2023-05-19	-2219.379992300348	16052.499315390958	6916.559661545305
2023-05-20	-2544.165480093591	15929.822008409341	6692.828264157874
2023-05-21	-2585.2744226938566	16088.668153096096	6751.696865201119
2023-05-22	-2605.3149388642187	16266.597673129134	6830.641367132458
2023-05-23	-2645.9935250899525	16445.583830859476	6899.7951528847625
2023-05-24	-3002.5727428409145	16293.955836621273	6645.69154689018
2023-05-25	-2855.1086907669505	16644.394435733746	6894.642872483399
2023-05-26	-2938.81662902321	16761.57057593024	6911.376973453515
2023-05-27	-2940.310235357091	16958.933349141756	7009.311556892332
2023-05-28	-3127.9279056721916	16968.20448546925	6920.1382898985285
2023-05-29	-3316.190436303301	16974.920435047556	6829.3649993721265
2023-05-30	-3103.36229339487	17380.87127388303	7138.754490244079
2023-05-31	-3281.6789236562117	17393.87356603027	7056.097321187029
2023-06-01	-3600.203988420555	17264.913421931476	6832.354716755461
2023-06-02	-3635.282909223575	17417.735442455538	6891.226266615982
2023-06-03	-3649.465681158237	17589.910801941216	6970.2225603914885
2023-06-04	-3683.587845894892	17762.290827037075	7039.351490571093
2023-06-05	-4034.276927845998	17604.774796492784	6785.248934323392
2023-06-06	-3881.154285458688	17949.552748368107	7034.19923145471
2023-06-07	-3959.4142822030944	18061.280808789692	7050.933263293299
2023-06-08	-3955.6616051620813	18253.396489456187	7148.867442147052
2023-06-09	-4138.192042582516	18257.644931562074	7059.726444489779
2023-06-10	-4321.598013802212	18259.47299314335	6968.937489670569
2023-06-11	-4104.073244568451	18660.724649368218	7278.325702399884
2023-06-12	-4277.858046718196	18669.195796346597	7195.6688748142005
2023-06-13	-4592.009703093479	18535.864092499185	6971.927194702854
2023-06-14	-4622.871971345802	18684.468974055013	7030.798501354605
2023-06-15	-4632.9822468744005	18852.56329389195	7109.7905235087765
2023-06-16	-4662.435334268335	19020.278341657224	7178.921503694444
2023-06-17	-5008.9389815360555	18858.576703270188	6924.818860867066
2023-06-18	-4851.781580407527	19199.32006605262	7173.769242822547
2023-06-19	-4926.145536669352	19307.15209739511	7190.503280362878
2023-06-20	-4918.6295753105305	19495.50456048149	7288.43749258548
