type,id,status,description,amount,account,balance,direction,class,institution,connection,enrich,transactionDate,postDate,subClass,links.self,links.account,links.institution,links.connection,subClass.title,subClass.code
transaction,8e4c0c2d-cb58-4e40-8082-ecef33db69c7,posted,Transfer Platnm Homeloan 346454,-3972.50,0b107c33-e858-4bbd-abba-f757ae4da1fc,6502.16,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-30T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/8e4c0c2d-cb58-4e40-8082-ecef33db69c7,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,b067491b-1abe-479c-88ae-62e96d44cc0e,posted,TFR From Transaction to CC Acc 13,-9286.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,10474.66,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-29T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/b067491b-1abe-479c-88ae-62e96d44cc0e,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,32b08ba0-331e-4986-b032-c6adeb75a01d,posted,Payroll WFRMS 15439393,15985.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,19760.66,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-29T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/32b08ba0-331e-4986-b032-c6adeb75a01d,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,569c9917-51c8-4d8f-96f3-5ba3000c1beb,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3775.66,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-17T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/569c9917-51c8-4d8f-96f3-5ba3000c1beb,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,6cf243ed-e54a-4cfd-97a1-0844e43b81ad,posted,Manly Maths Tutor Wages,201.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3574.66,credit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-15T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/6cf243ed-e54a-4cfd-97a1-0844e43b81ad,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,ba27716f-e8b5-4a31-9b03-fb98edfbac60,posted,Wdl ATM CBA ATM  MANLY D        NSW 219704   AUS,-420.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3373.66,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-14T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/ba27716f-e8b5-4a31-9b03-fb98edfbac60,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,295a38f4-4138-45af-8e95-fe42a3834615,posted,TFR Acc14000 TO 12389,-500.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,3793.66,debit,transfer,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-14T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/295a38f4-4138-45af-8e95-fe42a3834615,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
transaction,ee89c0b4-cc79-4986-966e-027ffb6266d6,posted,AGL RETAIL ENERGY LTD,-160.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,4293.66,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-11T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/ee89c0b4-cc79-4986-966e-027ffb6266d6,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,Electricity Distribution,263
transaction,7e681d12-8ce5-4525-a0ed-1405436ea1ee,posted,AGL RETAIL ENERGY LTD (GAS),-69.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,4453.66,debit,payment,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-11T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/7e681d12-8ce5-4525-a0ed-1405436ea1ee,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,Electricity Distribution,263
transaction,3175f0ef-bfbe-4297-954e-7803eb01f1e1,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-350.00,0b107c33-e858-4bbd-abba-f757ae4da1fc,4522.66,debit,cash-withdrawal,AU00000,5453f0a3-083c-43c6-9086-adfe94df9918,,,2022-03-05T00:00:00Z,,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/transactions/3175f0ef-bfbe-4297-954e-7803eb01f1e1,https://au-api.basiq.io/users/11103cba-4a08-4397-84a5-22ac125ed2f6/accounts/0b107c33-e858-4bbd-abba-f757ae4da1fc,https://au-api.basiq.io/institutions/AU00000,,,
