Features Rating,Security Rating,Recommendation Rating,Valuable Features,Competitors Do Well,Similarities
3,4,3,transactions,Testing the logging ,Tetsing the logging
1,1,1,ease-of-use,This is a test to see if the feedback submissions works,This is a test to see if the feedback submissions works
1,1,1,ease-of-use,This is a test to see is the feeback submission works,This is a test to see is the feedback submission works
3,4,3,transactions,Testing the logging ,Tetsing the logging
1,2,1,ease-of-use,Ease of Use,
1,5,1,ease-of-use,Ease of Use,
1,1,1,ease-of-use,Ease of Use,
1,1,1,ease-of-use,Ease of Use,
1,4,1,ease-of-use,Ease of Use,
2,1,2,ease-of-use,Ease of Use,
2,1,2,ease-of-use,Ease of Use,
4,1,1,ease-of-use,Ease of Use,
2,5,2,ease-of-use,Ease of Use,
5,1,1,ease-of-use,Ease of Use,
3,3,3,ease-of-use,Ease of Use,
1,4,1,ease-of-use,Ease of Use,
2,4,5,ease-of-use,Ease of Use,
1,5,1,ease-of-use,Ease of Use,
2,2,2,ease-of-use,Ease of Use,
1,4,1,ease-of-use,Ease of Use,
3,3,3,ease-of-use,Ease of Use,
1,1,1,ease-of-use,Ease of Use,
2,2,2,ease-of-use,Ease of Use,
4,1,5,ease-of-use,Ease of Use,
