type,id,status,description,amount,account,balance,direction,class,institution,postDate,subClass_title,subClass_code
transaction,fa41c714-e7df-4d14-8dd4-d6df923ae319,posted,Manly Maths Tutor Wages,201.00,2cb66259-6813-4519-b86a-60eba6cc282a,14382.14,credit,transfer,AU00000,2023-11-16T00:00:00Z,Educational Support Services,822
transaction,090e737a-c368-4c32-b975-012950ebe847,posted,Non Hooli ATM Withdrawal Fee,-2.50,2cb66259-6813-4519-b86a-60eba6cc282a,14883.64,debit,bank-fee,AU00000,2023-11-14T00:00:00Z,,card
transaction,50adec1e-39e4-412e-860f-1b6efcaeef63,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-500.00,2cb66259-6813-4519-b86a-60eba6cc282a,14383.64,debit,cash-withdrawal,AU00000,2023-11-14T00:00:00Z,,
transaction,d7234c6c-05f3-4493-a2dc-3024a49a71ab,posted,Non Hooli ATM Withdrawal Fee,-2.50,2cb66259-6813-4519-b86a-60eba6cc282a,14381.14,debit,bank-fee,AU00000,2023-11-14T00:00:00Z,,card
transaction,90fb2aba-a239-4c72-99d1-f398bfa143b9,posted,Wdl ATM WESTPAC IGA BALGOWLAH  BALGOWL        AU,-200.00,2cb66259-6813-4519-b86a-60eba6cc282a,14181.14,debit,cash-withdrawal,AU00000,2023-11-14T00:00:00Z,,
transaction,1b39aeb5-a052-4c5c-a401-f416cf69a958,posted,Manly Maths Tutor Wages,201.00,2cb66259-6813-4519-b86a-60eba6cc282a,14886.14,credit,transfer,AU00000,2023-11-12T00:00:00Z,Educational Support Services,822
transaction,ec284db8-79b2-40d0-8da3-d9dc37dba884,posted,TFR Acc14000 TO 12389,-500.00,2cb66259-6813-4519-b86a-60eba6cc282a,14685.14,debit,payment,AU00000,2023-11-11T00:00:00Z,Legal and Accounting Services,693
transaction,238fa04f-360a-4f90-9139-f0f0cc49a5aa,posted,CTRLINK CARERS Ref: 998R6789201610974V,110.20,2cb66259-6813-4519-b86a-60eba6cc282a,15185.14,credit,transfer,AU00000,2023-11-09T00:00:00Z,Unknown,0
transaction,8a2ca8e7-2140-4414-b836-1b9e4ea3092d,posted,AGL RETAIL ENERGY LTD (GAS),-92.00,2cb66259-6813-4519-b86a-60eba6cc282a,15200.94,debit,payment,AU00000,2023-11-08T00:00:00Z,Electricity Distribution,263
transaction,d53d1e8d-da9d-4cfa-8538-bf5061a7002c,posted,AGL RETAIL ENERGY LTD,-126.00,2cb66259-6813-4519-b86a-60eba6cc282a,15074.94,debit,payment,AU00000,2023-11-08T00:00:00Z,Electricity Distribution,263
transaction,78a06d8a-b52e-4568-bb28-fba0a481da62,posted,CTRLINK CARERS Ref: 998R6789201610974V,56.00,2cb66259-6813-4519-b86a-60eba6cc282a,15236.94,credit,transfer,AU00000,2023-11-02T00:00:00Z,Unknown,0
